run,compile_ms,wall_ms,user_ms,sys_ms,exit_code,rss_kb
1,89,60,50,0,0,1456
2,42,50,50,0,0,1496
3,42,50,50,0,0,1592
4,42,50,50,0,0,1720
5,42,50,50,0,0,1504
6,41,50,50,0,0,1464
7,42,50,50,0,0,1588
8,43,50,50,0,0,1504
9,43,50,50,0,0,1464
10,42,50,50,0,0,1452
11,41,50,50,0,0,1620
12,42,50,50,0,0,1592
13,42,50,50,0,0,1452
14,42,50,50,0,0,1616
15,42,50,50,0,0,1720
16,42,50,50,0,0,1456
17,42,50,50,0,0,1456
18,41,50,50,0,0,1496
19,41,50,50,0,0,1592
20,42,50,50,0,0,1508
21,42,50,50,0,0,1508
22,43,50,50,0,0,1592
23,43,50,50,0,0,1620
24,42,50,50,0,0,1456
25,43,50,50,0,0,1496
26,42,50,50,0,0,1592
27,42,50,50,0,0,1620
28,42,50,50,0,0,1496
29,42,50,50,0,0,1452
30,42,50,50,0,0,1576
31,42,50,50,0,0,1592
32,44,50,50,0,0,1456
33,42,50,50,0,0,1620
34,42,50,50,0,0,1616
35,42,50,50,0,0,1452
36,44,50,50,0,0,1588
37,42,50,50,0,0,1720
38,42,50,50,0,0,1496
39,42,50,50,0,0,1508
40,42,50,50,0,0,1620
41,42,50,50,0,0,1508
42,42,50,50,0,0,1616
43,42,50,50,0,0,1504
44,42,50,50,0,0,1592
45,42,50,50,0,0,1576
46,43,50,50,0,0,1460
47,42,50,50,0,0,1616
48,42,50,50,0,0,1456
49,42,50,50,0,0,1720
50,42,50,50,0,0,1616
51,42,50,50,0,0,1592
52,42,50,50,0,0,1592
53,41,50,50,0,0,1576
54,46,50,50,0,0,1488
55,44,50,50,0,0,1592
56,44,50,50,0,0,1616
57,44,50,50,0,0,1456
58,42,50,50,0,0,1452
59,43,50,50,0,0,1576
60,43,50,50,0,0,1452
61,44,50,50,0,0,1592
62,42,50,50,0,0,1460
63,43,50,50,0,0,1504
64,46,50,50,0,0,1464
65,44,50,50,0,0,1592
66,43,50,50,0,0,1592
67,43,50,50,0,0,1452
68,43,50,50,0,0,1592
69,43,50,50,0,0,1592
70,42,50,50,0,0,1496
71,43,50,50,0,0,1720
72,43,50,50,0,0,1620
73,43,50,50,0,0,1620
74,44,50,50,0,0,1720
75,43,50,50,0,0,1460
76,42,50,50,0,0,1616
77,44,50,50,0,0,1460
78,44,50,50,0,0,1620
79,42,50,50,0,0,1592
80,42,50,50,0,0,1592
81,42,50,50,0,0,1496
82,43,50,50,0,0,1460
83,43,50,50,0,0,1576
84,44,50,50,0,0,1592
85,43,50,50,0,0,1576
86,43,50,50,0,0,1496
87,44,50,50,0,0,1460
88,43,50,50,0,0,1592
89,45,50,50,0,0,1460
90,46,50,50,0,0,1504
91,44,50,50,0,0,1512
92,43,50,50,0,0,1720
93,42,50,50,0,0,1460
94,41,50,50,0,0,1620
95,42,50,50,0,0,1528
96,42,50,50,0,0,1496
97,41,50,50,0,0,1464
98,45,50,50,0,0,1508
99,44,50,50,0,0,1508
100,42,50,50,0,0,1464
101,43,50,50,0,0,1452
102,43,50,50,0,0,1592
103,42,50,50,0,0,1456
104,43,50,50,0,0,1464
105,43,50,50,0,0,1504
106,43,50,50,0,0,1592
107,42,50,50,0,0,1508
108,42,50,50,0,0,1592
109,43,50,50,0,0,1452
110,43,50,50,0,0,1588
111,44,50,50,0,0,1592
112,43,50,50,0,0,1576
113,43,50,50,0,0,1592
114,43,50,50,0,0,1592
115,43,50,50,0,0,1588
116,42,50,50,0,0,1496
117,42,50,50,0,0,1556
118,44,60,50,0,0,1576
119,43,50,50,0,0,1456
120,44,50,50,0,0,1456
121,43,50,50,0,0,1460
122,42,50,50,0,0,1456
123,42,50,50,0,0,1592
124,43,50,50,0,0,1508
125,43,50,50,0,0,1588
126,42,50,50,0,0,1452
127,42,50,50,0,0,1460
128,44,60,60,0,0,1496
129,43,50,50,0,0,1592
130,42,50,50,0,0,1616
131,42,50,50,0,0,1464
132,42,50,50,0,0,1456
133,42,50,50,0,0,1576
134,42,50,50,0,0,1592
135,42,50,50,0,0,1504
136,42,50,50,0,0,1620
137,42,50,50,0,0,1588
138,45,50,50,0,0,1464
139,42,50,50,0,0,1592
140,43,50,50,0,0,1592
141,44,50,50,0,0,1464
142,43,50,50,0,0,1592
143,43,50,50,0,0,1588
144,43,70,50,0,0,1680
145,43,50,50,0,0,1592
146,43,50,50,0,0,1592
147,42,50,50,0,0,1504
148,43,50,50,0,0,1504
149,43,50,50,0,0,1508
150,43,50,50,0,0,1496
151,45,50,50,0,0,1496
152,44,50,50,0,0,1508
153,45,50,50,0,0,1592
154,46,50,50,0,0,1720
155,43,50,50,0,0,1496
156,45,50,50,0,0,1464
157,43,50,50,0,0,1460
158,42,50,50,0,0,1496
159,42,50,50,0,0,1592
160,42,50,50,0,0,1720
161,43,50,50,0,0,1720
162,42,50,50,0,0,1620
163,42,50,50,0,0,1492
164,43,50,50,0,0,1616
165,42,50,50,0,0,1496
166,43,50,50,0,0,1504
167,43,50,50,0,0,1576
168,43,50,50,0,0,1508
169,43,50,50,0,0,1508
170,43,50,50,0,0,1588
171,42,50,50,0,0,1616
172,42,50,50,0,0,1452
173,43,50,50,0,0,1592
174,43,50,50,0,0,1460
175,42,50,50,0,0,1512
176,42,50,50,0,0,1464
177,42,50,50,0,0,1456
178,43,50,50,0,0,1456
179,42,50,50,0,0,1496
180,42,50,50,0,0,1492
181,43,50,50,0,0,1496
182,42,50,50,0,0,1592
183,43,50,50,0,0,1456
184,42,50,50,0,0,1592
185,43,50,50,0,0,1588
186,42,50,50,0,0,1592
187,42,50,50,0,0,1452
188,43,50,50,0,0,1492
189,42,50,50,0,0,1588
190,42,50,50,0,0,1592
191,42,50,50,0,0,1452
192,42,50,50,0,0,1508
193,42,50,50,0,0,1460
194,44,50,50,0,0,1464
195,43,50,50,0,0,1576
196,44,50,50,0,0,1616
197,43,50,50,0,0,1592
198,42,50,50,0,0,1508
199,43,50,50,0,0,1464
200,42,50,50,0,0,1496
201,43,50,50,0,0,1508
202,42,50,50,0,0,1592
203,43,50,50,0,0,1504
204,44,50,50,0,0,1592
205,43,50,50,0,0,1720
206,43,50,50,0,0,1592
207,43,50,50,0,0,1496
208,43,50,50,0,0,1720
209,42,50,50,0,0,1452
210,42,50,50,0,0,1496
211,44,50,50,0,0,1456
212,42,50,50,0,0,1720
213,42,50,50,0,0,1464
214,42,50,50,0,0,1460
215,42,50,50,0,0,1496
216,43,50,50,0,0,1504
217,44,50,50,0,0,1508
218,43,50,50,0,0,1576
219,44,50,50,0,0,1576
220,42,50,50,0,0,1616
221,42,50,50,0,0,1592
222,42,50,50,0,0,1592
223,42,50,50,0,0,1464
224,42,50,50,0,0,1588
225,42,50,50,0,0,1592
226,42,50,50,0,0,1504
227,43,50,50,0,0,1588
228,42,50,50,0,0,1616
229,42,60,50,0,0,1592
230,43,50,50,0,0,1588
231,42,50,50,0,0,1504
232,43,50,50,0,0,1508
233,42,50,50,0,0,1496
234,42,50,50,0,0,1720
235,42,50,50,0,0,1616
236,42,50,50,0,0,1464
237,43,50,50,0,0,1720
238,43,50,50,0,0,1616
239,42,50,50,0,0,1452
240,43,50,50,0,0,1588
241,42,50,50,0,0,1592
242,43,50,50,0,0,1720
243,43,50,50,0,0,1452
244,43,50,50,0,0,1456
245,43,50,50,0,0,1508
246,42,50,50,0,0,1588
