run,compile_ms,wall_ms,user_ms,sys_ms,exit_code,rss_kb
1,169,60,60,0,0,1616
2,168,60,50,0,0,1496
3,165,40,40,0,0,1720
4,168,50,50,0,0,1620
5,169,60,60,0,0,1592
6,170,60,60,0,0,1496
7,168,50,50,0,0,1504
8,168,60,60,0,0,1588
9,169,60,60,0,0,1496
10,162,50,50,0,0,1588
11,168,60,50,0,0,1592
12,169,70,60,0,0,1496
13,168,70,70,0,0,1588
14,164,60,50,0,0,1496
15,168,60,60,0,0,1456
16,165,60,60,0,0,1592
17,169,60,60,0,0,1504
18,169,60,60,0,0,1504
19,168,70,70,0,0,1620
20,161,40,30,0,0,1496
21,169,60,60,0,0,1456
22,168,70,70,0,0,1456
23,168,60,60,0,0,1592
24,168,60,60,0,0,1592
25,168,60,60,0,0,1616
26,168,60,60,0,0,1464
27,169,60,60,0,0,1496
28,168,50,50,0,0,1588
29,169,60,60,0,0,1452
30,169,70,60,0,0,1496
31,168,70,60,0,0,1456
32,161,40,40,0,0,1508
33,168,60,60,0,0,1460
34,168,60,60,0,0,1464
35,169,60,60,0,0,1588
36,168,60,60,0,0,1588
37,169,50,50,0,0,1592
38,169,60,60,0,0,1496
39,169,60,50,0,0,1452
40,168,60,60,0,0,1592
41,168,60,60,0,0,1504
42,169,70,70,0,0,1496
43,165,50,50,0,0,1616
44,169,50,50,0,0,1504
45,158,30,30,0,0,1504
46,175,50,40,0,0,1464
47,168,60,50,0,0,1464
48,158,30,30,0,0,1464
49,158,30,30,0,0,1592
50,158,30,30,0,0,1588
51,161,40,30,0,0,1592
52,168,70,70,0,0,1460
53,168,60,60,0,0,1588
54,169,70,60,0,0,1720
55,168,70,70,0,0,1464
56,169,60,60,0,0,1588
57,169,60,60,0,0,1508
58,169,60,60,0,0,1620
59,168,60,60,0,0,1588
60,169,70,70,0,0,1588
61,160,30,30,0,0,1464
62,159,40,40,0,0,1464
63,165,60,60,0,0,1508
64,168,60,60,0,0,1508
65,168,60,60,0,0,1452
66,168,60,60,0,0,1576
67,168,60,60,0,0,1592
68,168,50,50,0,0,1512
69,168,60,60,0,0,1496
70,169,60,60,0,0,1620
71,169,60,50,0,0,1464
72,169,70,70,0,0,1588
73,162,40,40,0,0,1504
74,162,50,50,0,0,1496
75,168,60,60,0,0,1452
76,168,70,60,0,0,1592
77,162,40,40,0,0,1592
78,158,30,30,0,0,1496
79,168,50,50,0,0,1460
80,169,60,60,0,0,1620
81,164,60,50,0,0,1616
82,168,60,60,0,0,1616
83,169,70,60,0,0,1616
84,169,60,60,0,0,1496
85,169,60,60,0,0,1452
86,169,70,60,0,0,1508
87,166,40,40,0,0,1616
88,164,60,50,0,0,1592
89,168,70,70,0,0,1464
90,168,60,60,0,0,1464
91,168,60,60,0,0,1452
92,165,40,40,0,0,1592
93,169,60,60,0,0,1512
94,167,50,40,0,0,1504
95,163,50,50,0,0,1456
96,160,50,50,0,0,1592
97,168,60,50,0,0,1504
98,168,70,60,0,0,1592
99,169,70,70,0,0,1592
100,168,60,60,0,0,1592
101,169,60,60,0,0,1620
102,169,60,60,0,0,1456
103,169,60,50,0,0,1616
104,168,70,70,0,0,1620
105,168,60,60,0,0,1592
106,169,70,60,0,0,1588
107,168,60,60,0,0,1576
108,159,30,30,0,0,1456
109,168,60,60,0,0,1592
110,168,70,70,0,0,1592
111,164,40,40,0,0,1496
112,168,60,60,0,0,1720
113,169,50,50,0,0,1508
114,169,70,70,0,0,1620
115,168,70,60,0,0,1720
116,168,60,60,0,0,1576
117,168,60,50,0,0,1592
118,168,60,60,0,0,1456
119,169,60,60,0,0,1496
120,168,50,50,0,0,1504
121,168,60,60,0,0,1620
122,168,70,60,0,0,1592
123,168,60,60,0,0,1576
124,169,60,60,0,0,1576
125,169,70,60,0,0,1620
126,168,60,60,0,0,1720
127,170,70,60,0,0,1620
128,168,60,60,0,0,1616
129,169,60,60,0,0,1452
130,169,60,60,0,0,1576
131,168,60,60,0,0,1592
132,169,60,60,0,0,1464
133,163,40,40,0,0,1496
134,168,60,50,0,0,1464
135,168,70,70,0,0,1592
136,169,60,60,0,0,1592
137,169,60,60,0,0,1460
138,169,60,60,0,0,1452
139,167,40,40,0,0,1508
140,162,50,50,0,0,1592
141,169,50,50,0,0,1720
142,168,60,60,0,0,1588
143,165,50,40,0,0,1592
144,169,60,60,0,0,1592
145,169,60,50,0,0,1592
146,165,60,60,0,0,1460
147,166,60,60,0,0,1464
148,169,60,60,0,0,1452
149,168,60,60,0,0,1496
150,168,60,60,0,0,1496
151,161,50,50,0,0,1460
152,168,40,40,0,0,1504
153,166,60,60,0,0,1720
154,169,70,60,0,0,1620
155,169,60,60,0,0,1616
156,160,40,40,0,0,1508
157,169,60,50,0,0,1592
158,168,60,60,0,0,1504
159,169,60,50,0,0,1592
160,168,60,60,0,0,1456
161,165,70,60,0,0,1588
162,169,60,60,0,0,1496
163,169,60,60,0,0,1496
164,168,60,60,0,0,1508
165,168,60,60,0,0,1616
166,169,60,60,0,0,1720
167,169,60,50,0,0,1592
168,169,60,60,0,0,1460
169,168,60,60,0,0,1592
170,169,60,60,0,0,1508
171,169,70,70,0,0,1720
172,168,60,60,0,0,1592
173,168,60,50,0,0,1720
174,169,60,60,0,0,1588
175,169,70,70,0,0,1592
176,168,60,60,0,0,1620
177,169,70,60,0,0,1576
178,168,60,60,0,0,1592
