run,compile_ms,wall_ms,user_ms,sys_ms,exit_code,rss_kb
1,163,60,50,0,0,1460
2,169,70,60,0,0,1464
3,168,60,60,0,0,1720
4,168,60,60,0,0,1496
5,168,70,60,0,0,1720
6,168,70,70,0,0,1588
7,169,70,60,0,0,1592
8,169,70,70,0,0,1620
9,169,60,60,0,0,1508
10,168,70,70,0,0,1592
11,170,40,40,0,0,1464
12,168,60,60,0,0,1576
13,169,60,60,0,0,1496
14,169,60,60,0,0,1720
15,168,70,70,0,0,1592
16,169,60,60,0,0,1616
17,169,60,60,0,0,1496
18,169,60,60,0,0,1588
19,168,70,60,0,0,1504
20,169,60,60,0,0,1576
21,168,70,70,0,0,1620
22,168,70,60,0,0,1508
23,169,60,60,0,0,1452
24,168,60,60,0,0,1620
25,169,60,60,0,0,1452
26,169,50,50,0,0,1464
27,168,50,50,0,0,1576
28,161,40,40,0,0,1492
29,158,30,30,0,0,1452
30,169,60,60,0,0,1452
31,169,60,50,0,0,1620
32,160,40,30,0,0,1464
33,164,50,50,0,0,1592
34,168,60,60,0,0,1720
35,168,70,70,0,0,1496
36,168,60,50,0,0,1720
37,168,60,60,0,0,1500
38,169,60,60,0,0,1452
39,168,60,60,0,0,1720
40,168,70,70,0,0,1452
41,168,60,60,0,0,1460
42,169,60,60,0,0,1456
43,162,50,50,0,0,1592
44,168,60,60,0,0,1720
45,168,60,60,0,0,1460
46,168,60,60,0,0,1496
47,169,60,60,0,0,1452
48,168,60,60,0,0,1464
49,158,30,30,0,0,1452
50,165,30,30,0,0,1504
51,169,70,60,0,0,1592
52,169,60,60,0,0,1620
53,168,60,60,0,0,1576
54,158,30,30,0,0,1452
55,158,30,30,0,0,1504
56,169,60,60,0,0,1464
57,161,40,40,0,0,1620
58,161,50,40,0,0,1464
59,169,60,60,0,0,1508
60,159,40,40,0,0,1616
61,166,40,30,0,0,1720
62,167,40,40,0,0,1576
63,158,30,30,0,0,1616
64,164,40,30,0,0,1576
65,163,40,40,0,0,1620
66,169,50,40,0,0,1464
67,169,60,60,0,0,1588
68,162,60,60,0,0,1616
69,158,30,30,0,0,1592
70,168,60,60,0,0,1460
71,161,30,30,0,0,1456
72,168,50,50,0,0,1616
73,168,60,60,0,0,1616
74,169,70,70,0,0,1452
75,168,60,60,0,0,1456
76,165,50,40,0,0,1464
77,169,50,40,0,0,1620
78,168,60,50,0,0,1620
79,168,60,50,0,0,1720
80,169,70,70,0,0,1592
81,168,60,60,0,0,1592
82,168,60,60,0,0,1576
83,164,60,60,0,0,1452
84,168,60,60,0,0,1592
85,168,60,60,0,0,1496
86,159,50,40,0,0,1592
87,167,50,50,0,0,1576
88,169,60,60,0,0,1616
89,169,50,50,0,0,1560
90,164,40,40,0,0,1464
91,168,60,60,0,0,1492
92,169,60,60,0,0,1504
93,158,30,30,0,0,1576
94,169,50,50,0,0,1508
95,169,60,60,0,0,1576
96,168,60,60,0,0,1504
97,168,60,60,0,0,1460
98,162,50,50,0,0,1456
99,170,40,40,0,0,1720
100,168,50,50,0,0,1568
101,168,60,60,0,0,1576
102,168,70,70,0,0,1460
103,161,50,40,0,0,1592
104,169,70,60,0,0,1464
105,163,50,50,0,0,1504
106,168,60,50,0,0,1460
107,168,40,40,0,0,1588
108,162,50,50,0,0,1504
109,169,60,60,0,0,1592
110,168,60,60,0,0,1504
111,169,60,60,0,0,1464
112,168,60,60,0,0,1588
113,169,60,60,0,0,1504
114,168,60,60,0,0,1592
115,164,50,50,0,0,1720
116,168,60,60,0,0,1592
117,168,60,60,0,0,1588
118,168,60,60,0,0,1464
119,168,60,60,0,0,1720
120,169,60,60,0,0,1464
121,168,60,60,0,0,1620
122,168,60,60,0,0,1504
123,168,60,60,0,0,1588
124,164,50,50,0,0,1576
125,168,60,60,0,0,1452
126,169,60,60,0,0,1560
127,168,60,50,0,0,1464
128,169,60,60,0,0,1508
129,169,50,50,0,0,1680
